桃園裝修區臺 2026/10月份 桃園裝修區臺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日期,星期,08:00~17:00,,,,,,17:00~00:00,,,,,,00:00~08:00,,,,,,08:00~16:00,,,,,,16:00~00:00,,,,,,00:00~08:00,,,,,,08:30~16:30,,,,,
,,上班日-早,,,,,,上班日-小,,,,,,上班日-大,,,,,,假日-早,,,,,,假日-小,,,,,,假日-大,,,,,,強制補休,,,,,
,,S:08-17,A:08-17,B:08-17,C:08-17,D:08-17,E:08-17,S:17-00,A:17-00,B:17-00,C:17-00,D:17-00,E:17-00,S:00-08,A:00-08,B:00-08,C:00-08,D:00-08,E:00-08,S:08-16,A:08-16,B:08-16,C:08-16,D:08-16,E:08-16,S:16-00,A:16-00,B:16-00,C:16-00,D:16-00,E:16-00,S:00-08,A:00-08,B:00-08,C:00-08,D:00-08,E:00-08,S:0830-1700,A:0830-1700,B:0830-1700,C:0830-1700,D:0830-1700,E:0830-1700
1,四,CA,RO,NH,CN,RH,TG,CA,RO,NH,CN,RH,TG,RA,TH,NM,CQ,RS,TE,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,RA,TH,NM,CQ,RS,TE
2,五,MA,NN,NA,CP,RJ,TD,MA,NN,NA,CP,RJ,TD,CA,RO,NH,CN,RH,TG,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,CA,RO,NH,CN,RH,TG
3,六,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,SA,CQ,NM,CO,RH,TC,SA,CQ,NM,CO,RH,TC,MA,NN,NA,CP,RJ,TD,　,　,　,　,　,　
4,日,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,MB,TH,NI,CP,RA,TF,MB,TH,NI,CP,RA,TF,SA,CQ,NM,CO,RH,TC,　,　,　,　,　,　
5,一,CA,TG,NM,CR,RS,TC,CA,TG,NM,CR,RS,TC,MB,TH,NI,CP,RA,TF,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,MB,TH,NI,CP,RA,TF
6,二,NA,CN,NG,CS,RA,TF,NA,CN,NG,CS,RA,TF,CA,TG,NM,CR,RS,TC,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,CA,TG,NM,CR,RS,TC
7,三,SA,TC,NI,CQ,RS,TE,SA,TC,NI,CQ,RS,TE,NA,CN,NG,CS,RA,TF,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,NA,CN,NG,CS,RA,TF
8,四,TA,CO,NH,CR,RJ,TH,TA,CO,NH,CR,RJ,TH,SA,TC,NI,CQ,RS,TE,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,SA,TC,NI,CQ,RS,TE
